"","year","week","predict","p.1","p0","p1"
"167",2014,34,"0",0.0271588663215619,0.964369558679411,0.00847157499902701
"168",2015,34,"0",0.332883332427092,0.657641505290864,0.00947516228204386
"169",2016,34,"-1",0.900145929204992,0.0984159814121677,0.00143808938284068
"170",2017,34,"0",0.0153397259423943,0.969840299626131,0.0148199744314748
"171",2013,35,"0",0.00329764766923163,0.9678453372475,0.0288570150832686
"172",2014,35,"0",0.00402999156712813,0.989968438800254,0.00600156963261762
"173",2015,35,"-1",0.990305126540354,0.00924250327238471,0.000452370187261603
"174",2016,35,"0",0.0166573573770544,0.980306353449133,0.00303628917381279
"175",2017,35,"0",0.000933433074591168,0.998234401316162,0.00083216560924654
"176",2013,36,"1",0.000746320748709172,0.0187847130224701,0.980468966228821
"177",2014,36,"0",0.00113312672736631,0.983740799096049,0.0151260741765845
"178",2015,36,"-1",0.991248257865511,0.00862198524606981,0.000129756888418676
"179",2016,36,"0",0.00779428938478059,0.983638664454509,0.00856704616071033
"180",2017,36,"0",0.00086795419487489,0.995070795101973,0.0040612507031523
"181",2013,37,"1",0.000100170518267486,0.0011494440426349,0.998750385439098
"182",2014,37,"0",0.000226882825843069,0.998674318845098,0.00109879832905852
"183",2015,37,"-1",0.993430920489172,0.00467481510666439,0.00189426440416417
"184",2016,37,"0",0.00350544951784492,0.995564979596399,0.000929570885755708
"185",2017,37,"0",0.00753660418758944,0.985379765094188,0.00708363071822242
"186",2013,38,"1",0.000187543256062462,0.00934977506418958,0.990462681679748
"187",2014,38,"0",0.000536867191650379,0.985089921804777,0.0143732110035728
"188",2015,38,"-1",0.994528996252315,0.00529792496967123,0.000173078778014252
"189",2016,38,"-1",0.739735897595041,0.259159911543396,0.00110419086156259
"190",2017,38,"0",0.0086973213717463,0.987556278878467,0.00374639974978674
"191",2013,39,"1",0.00208468526276761,0.232376385249546,0.765538929487687
"192",2014,39,"0",0.00307460881289664,0.988489567265175,0.00843582392192815
"193",2015,39,"-1",0.715937111283026,0.281992259385718,0.00207062933125613
"194",2016,39,"0",0.0282605717151089,0.965609926837408,0.00612950144748349
"195",2017,39,"0",0.0230940254712761,0.83541423555953,0.141491738969194
"196",2013,40,"1",0.000157959513345284,0.00342236973175155,0.996419670754903
"197",2014,40,"0",0.00115853508050007,0.985926085601427,0.0129153793180732
"198",2015,40,"-1",0.992063185768204,0.00774133987675389,0.000195474355041899
"199",2016,40,"0",0.00358017112997074,0.995070002477545,0.00134982639248433
"200",2017,40,"0",0.00170647875258346,0.987121989498891,0.0111715317485254
